[15:36:20] Heap: 2, Queue: 1, Total Workers: 5, Active: 0, Success: 0, Failed: 0
[15:36:23] Heap: 1, Queue: 2, Total Workers: 5, Active: 0, Success: 0, Failed: 0
[15:36:26] Heap: 1, Queue: 2, Total Workers: 5, Active: 0, Success: 0, Failed: 0
[15:36:29] Heap: 6, Queue: 3, Total Workers: 5, Active: 0, Success: 0, Failed: 0
[15:36:32] Heap: 5, Queue: 3, Total Workers: 5, Active: 0, Success: 1, Failed: 0
[15:36:35] Heap: 10, Queue: 4, Total Workers: 5, Active: 0, Success: 1, Failed: 0
[15:36:38] Heap: 9, Queue: 5, Total Workers: 5, Active: 0, Success: 1, Failed: 0
[15:36:41] Heap: 18, Queue: 5, Total Workers: 5, Active: 0, Success: 1, Failed: 0
[15:36:44] Heap: 17, Queue: 6, Total Workers: 5, Active: 0, Success: 1, Failed: 0
[15:36:47] Heap: 21, Queue: 7, Total Workers: 5, Active: 0, Success: 1, Failed: 0
[15:36:50] Heap: 20, Queue: 8, Total Workers: 5, Active: 0, Success: 1, Failed: 0
[15:36:53] Heap: 24, Queue: 8, Total Workers: 5, Active: 0, Success: 2, Failed: 0
[15:36:56] Heap: 23, Queue: 9, Total Workers: 5, Active: -1, Success: 2, Failed: 0
[15:36:59] Heap: 29, Queue: 10, Total Workers: 5, Active: -1, Success: 2, Failed: 0
[15:37:02] Heap: 28, Queue: 10, Total Workers: 5, Active: -1, Success: 2, Failed: 1
[15:37:05] Heap: 32, Queue: 11, Total Workers: 5, Active: -1, Success: 2, Failed: 1
[15:37:08] Heap: 31, Queue: 12, Total Workers: 5, Active: -1, Success: 2, Failed: 1
[15:37:11] Heap: 37, Queue: 12, Total Workers: 5, Active: -1, Success: 2, Failed: 1
[15:37:14] Heap: 36, Queue: 13, Total Workers: 5, Active: -1, Success: 3, Failed: 1
[15:37:17] Heap: 42, Queue: 14, Total Workers: 5, Active: -2, Success: 3, Failed: 1
[15:37:20] Heap: 41, Queue: 15, Total Workers: 5, Active: -3, Success: 3, Failed: 1
